0.068293,0.269512,0.836585
0.043902,0.234146,0.678049
0.069512,0.252439,0.662195
0.184146,0.260976,0.645122
0.297561,0.223171,0.641463
0.400000,0.118293,0.648780
0.441463,0.021951,0.656098
0.456098,-0.069512,0.660976
0.431707,-0.185366,0.680488
0.386585,-0.300000,0.675610
0.341463,-0.368293,0.665854
0.318293,-0.376829,0.676829
0.373171,-0.302439,0.691463
0.404878,-0.182927,0.712195
0.371951,-0.045122,0.746341
0.289024,0.065854,0.764634
0.170732,0.159756,0.756098
0.052439,0.207317,0.430657
-0.057317,0.204878,0.682927
-0.157317,0.185366,0.623171
-0.243902,0.147561,0.547561
-0.293902,0.123171,0.457317
-0.297561,0.141463,0.370732
-0.264634,0.176829,0.297561
-0.264634,0.105839,0.297561
-0.181707,0.102439,0.031707
-0.132927,0.053659,-0.034146
-0.053659,-0.051220,-0.118293
0.023171,-0.109756,-0.148780
0.047561,-0.119512,-0.154878
0.075610,-0.118293,-0.154878
0.061314,-0.081707,-0.152439
0.091463,-0.006098,-0.135366
0.031707,0.091463,-0.092683
-0.010976,0.193902,-0.007317
0.187805,0.282927,0.123171
0.369512,0.231707,0.198780
0.467073,0.151220,0.178102
0.523171,0.056098,0.387805
0.536585,-0.034146,0.458537
0.518293,-0.087805,0.528049
0.463415,-0.151220,0.624390
0.395122,-0.251220,0.680488
0.330488,-0.368293,0.665854
0.286585,-0.252555,0.654878
0.286585,-0.421951,0.654878
-0.003659,-0.520732,0.581707
-0.048780,-0.507317,0.580488
-0.031707,-0.501220,0.598781
0.093902,-0.476829,0.645122
0.200000,-0.418293,0.690244
0.141606,-0.367073,0.715854
0.285366,-0.265854,0.741463
0.300000,-0.153659,0.767073
0.302439,-0.108537,0.765854
0.302439,-0.108537,0.765854
0.197561,0.020732,0.791463
0.084146,0.147561,0.446715
-0.085366,0.204878,0.641463
-0.158537,0.193902,0.589024
-0.237805,0.163415,0.512195
-0.295122,0.109756,0.437805
-0.324390,0.065854,0.400000
-0.352439,0.004878,0.363415
-0.368293,-0.050365,0.324390
-0.369512,-0.135366,0.268293
-0.331707,-0.245122,0.153659
-0.259756,-0.315854,0.057317
-0.214634,-0.343902,0.018293
-0.165854,-0.373171,-0.015854
-0.114634,-0.389024,-0.045122
-0.012409,-0.390244,-0.091463
0.043902,-0.384146,-0.107317
0.101220,-0.391463,-0.108537
0.171951,-0.403659,-0.093902
0.214634,-0.414634,-0.069512
0.214634,-0.414634,-0.069512
-0.009756,-0.424390,-0.047445
-0.109756,-0.325610,-0.101220
-0.159756,-0.213415,-0.106098
-0.218293,-0.085366,-0.062195
-0.215854,0.098780,0.030488
-0.119512,0.235366,0.110976
-0.048780,0.282927,0.163415
0.012195,0.182482,0.173171
-0.009756,0.304878,0.197561
-0.019512,0.304878,0.203659
-0.096341,0.260976,0.142683
-0.173171,0.217073,0.139024
-0.228049,0.165854,0.123171
-0.262195,0.123171,0.113415
-0.171533,0.084146,0.124390
-0.335366,0.020732,0.150000
-0.364634,-0.032927,0.181707
-0.391463,-0.104878,0.232927
-0.402439,-0.169512,0.290244
-0.395122,-0.212195,0.312195
-0.395122,-0.212195,0.186861
-0.334146,-0.351220,0.435366
-0.300000,-0.391463,0.458537
-0.290244,-0.410976,0.446341
-0.298781,-0.425610,0.378049
-0.326829,-0.397561,0.281707
-0.341463,-0.307317,0.159756
-0.310976,-0.130657,0.046341
-0.240244,-0.140244,-0.050000
-0.139024,-0.076829,-0.113415
-0.012195,0.000000,-0.143902
0.054878,0.074390,-0.117073
0.082927,0.124390,-0.089024
0.163415,0.152439,-0.046341
0.157664,0.164634,0.008537
0.318293,0.192683,0.098780
0.337805,0.219512,0.187805
0.367073,0.217073,0.271951
0.436585,0.146341,0.378049
0.468293,0.058537,0.486585
0.462195,-0.036585,0.341606
0.423171,-0.150000,0.643902
0.423171,-0.150000,0.643902
0.423171,-0.150000,0.643902
0.423171,-0.150000,0.643902
0.113415,-0.373171,0.729268
